('MarScoToc-wikipedia.org.json', 'Name')
('silvestri-disfold.com.json', 'name')
('DeBiGa-disfold.com.json', 'name')
('slytherin-forbes.com.json', 'name')
('DeBiGa-globaldata.com.json', 'name')
('valueToday_dataset.json', 'name')
('MarScoToc-ambitionbox.com.json', 'Name')
('slytherin-disfold.com.json', 'name')
('hitHorizons_dataset.json', 'name')
('iGMM-cbinsights.com.json', 'company')
('MalPatSaj-forbes.com.json', 'Name')
('DDD-teamblind.com.json', 'name')
('FR_forbes.json', 'Name')
('GioPonSpiz-wikipedia.org.json', 'Name')
('gren-ft.com.json', 'name')
('gren-value.today.json', 'name')
('valueToday_dataset.json', 'company_business')
('DDD-ft.com.json', 'name')
('gren-companiesmarketcap.com.json', 'name')
('FR_company_social_urls.json', 'Company')
