('silvestri-disfold.com.json', 'name')
('slytherin-forbes.com.json', 'name')
('slytherin-disfold.com.json', 'name')
('gren-value.today.json', 'name')
('DDD-ft.com.json', 'name')
('DeBiGa-disfold.com.json', 'name')
('MalPatSaj-forbes.com.json', 'Name')
('GioPonSpiz-wikipedia.org.json', 'Name')
('FR_forbes.json', 'Name')
('hitHorizons_dataset.json', 'name')
('gren-companiesmarketcap.com.json', 'name')
('MarScoToc-wikipedia.org.json', 'Name')
('gren-ft.com.json', 'name')
('DeBiGa-globaldata.com.json', 'name')
('DDD-teamblind.com.json', 'name')
('MarScoToc-ambitionbox.com.json', 'Name')
